date,value,manual
9/17/2014,169.3,no
9/24/2014,168.8,no
10/1/2014,168.8,no
10/8/2014,172.9,no
10/15/2014,171.7,no
10/22/2014,163.4,no
10/29/2014,155.2,no
11/5/2014,159.2,no
11/12/2014,160.9,no
11/19/2014,179.8,no
11/26/2014,171.2,no
12/3/2014,175.5,no
12/10/2014,177.7,no
12/17/2014,165.5,no
12/24/2014,167.7,no
1/7/2015,159.2,no
1/14/2015,196.7,no
1/21/2015,191.7,no
1/28/2015,191.6,no
2/4/2015,187.2,no
2/11/2015,175.1,no
2/18/2015,162.7,no
2/25/2015,170.2,no
3/4/2015,169.8,no
3/11/2015,173,no
3/18/2015,170.4,no
3/25/2015,178.7,no
4/1/2015,188.9,no
4/8/2015,201.8,no
4/15/2015,195.6,no
4/22/2015,205.4,no
4/29/2015,205.4,no
5/6/2015,207.1,no
5/13/2015,206.7,no
5/20/2015,199.1,no
5/27/2015,201.5,no
6/3/2015,195.4,no
6/10/2015,214.3,no
6/17/2015,205.4,no
6/24/2015,207.8,no
7/1/2015,199.2,no
7/8/2015,212.4,no
7/15/2015,196.4,no
7/22/2015,198.3,no
7/29/2015,198.1,no
8/5/2015,204.6,no
8/12/2015,197.4,no
8/19/2015,195.3,no
8/26/2015,198.7,no
9/2/2015,206.9,no
9/9/2015,205,no
9/16/2015,196.3,no
9/23/2015,214.2,no
9/30/2015,202.1,no
10/7/2015,257.4,no
10/14/2015,169.6,no
10/21/2015,197.4,no
10/28/2015,191.2,no
11/4/2015,190,no
11/11/2015,190.1,no
11/18/2015,212.8,no
11/25/2015,211.7,no
12/2/2015,228.1,no
12/9/2015,228.2,no
12/16/2015,221.7,no
12/23/2015,230.8,no
1/6/2016,196.2,no
1/13/2016,231.1,no
1/20/2016,227.3,no
1/27/2016,237.8,no
2/3/2016,221.1,no
2/10/2016,221.6,no
2/17/2016,213.3,no
2/24/2016,217.9,no
3/2/2016,216.7,no
3/9/2016,225.7,no
3/16/2016,226.3,no
3/23/2016,224,no
3/30/2016,228.6,no
4/6/2016,223.1,no
4/13/2016,241.9,no
4/20/2016,240.8,no
4/27/2016,235,no
5/4/2016,234.7,no
5/11/2016,235.6,no
5/18/2016,222,no
5/25/2016,234.9,no
6/1/2016,223.8,no
6/8/2016,249.9,no
6/15/2016,237.6,no
6/22/2016,231.9,no
6/29/2016,224.9,no
7/6/2016,234.6,no
7/13/2016,234.7,no
7/20/2016,229.9,no
7/27/2016,222.2,no
8/3/2016,216.9,no
8/10/2016,222.6,no
8/17/2016,214,no
8/24/2016,213.4,no
8/31/2016,216.1,no
9/7/2016,218.6,no
9/14/2016,237.3,no
9/21/2016,221.1,no
9/28/2016,222.8,no
10/5/2016,222.5,no
10/12/2016,216.7,no
10/19/2016,223.1,no
10/26/2016,207.8,no
11/2/2016,207,no
11/9/2016,210,no
11/16/2016,197,no
11/23/2016,234.1,no
11/30/2016,233.6,no
12/7/2016,234.5,no
12/14/2016,226.7,no
12/21/2016,232.9,no
1/4/2017,228,no
1/11/2017,241.9,no
1/18/2017,229.4,no
1/25/2017,243.2,no
2/1/2017,229.6,no
2/8/2017,233.7,no
2/15/2017,223.1,no
2/22/2017,216.9,no
3/1/2017,231,no
3/8/2017,235,no
3/15/2017,240.3,no
3/22/2017,235.3,no
3/29/2017,238.1,no
4/5/2017,239.8,no
4/12/2017,246.7,no
4/19/2017,238.3,no
4/26/2017,236,no
5/3/2017,246,no
5/10/2017,250.3,no
5/17/2017,243.6,no
5/24/2017,241.6,no
5/31/2017,238.1,no
6/7/2017,261.9,no
6/14/2017,254.6,no
6/21/2017,252.1,no
6/28/2017,241.7,no
7/6/2017,249.1,no
7/12/2017,242.8,no
7/19/2017,245.5,no
7/26/2017,240.1,no
8/2/2017,235.4,no
8/9/2017,237.3,no
8/16/2017,233.8,no
8/23/2017,230.4,no
8/30/2017,224.1,no
9/6/2017,227.3,no
9/13/2017,252,no
9/20/2017,224.7,no
9/27/2017,231,no
10/4/2017,233.4,no
10/11/2017,233.2,no
10/18/2017,242.9,no
10/25/2017,228,no
11/1/2017,226.1,no
11/8/2017,227.2,no
11/15/2017,228.2,no
11/22/2017,240.4,no
11/29/2017,244.7,no
12/6/2017,250.6,no
12/13/2017,247.9,no
12/20/2017,234.3,no
1/3/2018,236.9,no
1/10/2018,242.7,no
1/17/2018,249.2,no
1/24/2018,264.4,no
1/31/2018,255.5,no
2/7/2018,255.4,no
2/14/2018,240.4,no
2/21/2018,225.5,no
2/28/2018,239.4,no
3/7/2018,238.3,no
3/14/2018,246.5,no
3/21/2018,249.9,no
3/28/2018,257.6,no
4/4/2018,252.3,no
4/11/2018,247.3,no
4/18/2018,262.4,no
4/25/2018,262.4,no
5/2/2018,258.1,no
5/9/2018,257.7,no
5/16/2018,252.4,no
5/23/2018,247.4,no
5/30/2018,242.7,no
6/6/2018,252.8,no
6/13/2018,249,no
6/20/2018,259.6,no
6/27/2018,244.3,no
7/4/2018,245.5,no
7/11/2018,261.5,no
7/18/2018,247.9,no
7/25/2018,245.5,no
8/1/2018,237.9,no
8/8/2018,233.1,no
8/15/2018,225.5,no
8/22/2018,232.1,no
8/29/2018,230.1,no
9/5/2018,231.4,no
9/12/2018,233.5,no
9/19/2018,234.2,no
9/26/2018,240.4,no
10/3/2018,240.7,no
10/10/2018,238,no
10/17/2018,224,no
10/24/2018,228.4,no
10/31/2018,224.9,no
11/7/2018,213.6,no
11/14/2018,220.8,no
11/21/2018,227.7,no
11/28/2018,247.8,no
12/5/2018,249.9,no
12/12/2018,256.1,no
12/19/2018,238.6,no
1/3/2019,219,no
1/9/2019,255.2,no
1/16/2019,278.5,no
1/23/2019,272.5,no
1/30/2019,266.2,no
2/6/2019,253.1,no
2/13/2019,237.7,no
2/20/2019,232.7,no
2/27/2019,247,no
3/6/2019,240.5,no
3/13/2019,250.8,no
3/20/2019,251.5,no
3/27/2019,267.5,no
4/3/2019,276.6,no
4/10/2019,278.1,no
4/17/2019,280.7,no
4/24/2019,269.3,no
5/1/2019,259.4,no
5/8/2019,270.2,no
5/15/2019,268.5,no
5/22/2019,263,no
5/29/2019,259.4,no
