month_date_yyyymm,cbsa_code,cbsa_title,HouseholdRank,median_listing_price,median_listing_price_mm,median_listing_price_yy,active_listing_count,active_listing_count_mm,active_listing_count_yy,median_days_on_market,median_days_on_market_mm,median_days_on_market_yy,new_listing_count,new_listing_count_mm,new_listing_count_yy,price_increased_count,price_increased_count_mm,price_increased_count_yy,price_increased_share,price_increased_share_mm,price_increased_share_yy,price_reduced_count,price_reduced_count_mm,price_reduced_count_yy,price_reduced_share,price_reduced_share_mm,price_reduced_share_yy,pending_listing_count,pending_listing_count_mm,pending_listing_count_yy,median_listing_price_per_square_foot,median_listing_price_per_square_foot_mm,median_listing_price_per_square_foot_yy,median_square_feet,median_square_feet_mm,median_square_feet_yy,average_listing_price,average_listing_price_mm,average_listing_price_yy,total_listing_count,total_listing_count_mm,total_listing_count_yy,pending_ratio,pending_ratio_mm,pending_ratio_yy,quality_flag
202606,19100,"Dallas-Fort Worth-Arlington, TX",4,439990.0,0.0092,0.0,29628,0.0584,-0.0442,51.0,0.0625,0.02,11422,-0.0379,-0.0648,422,0.1467,-0.0409,0.008,0.0007,-0.0001,14172.0,0.1518,-0.1461,0.2683,0.0282,-0.0372,11780.0,-0.0328,0.065,202.0,-0.0028,-0.0199,2234.0,0.0104,0.015,637580.0,-0.0079,-0.0009,41341,0.0281,-0.0185,0.3976,-0.0375,0.0408,0.0
202606,26420,"Houston-Pasadena-The Woodlands, TX",5,362265.0,0.0063,-0.0338,34721,0.0251,0.0145,50.0,0.0102,0.0879,11388,0.0599,-0.0052,824,-0.1727,-0.2884,0.0143,-0.0038,-0.0058,11614.0,0.1494,-0.136,0.2009,0.0174,-0.037,11367.0,0.0023,0.003,172.0,-0.004,-0.0245,2143.0,0.0059,0.0092,494591.0,-0.0016,-0.0208,46172,0.0166,0.0125,0.3274,-0.0074,-0.0038,0.0
202606,19740,"Denver-Aurora-Centennial, CO",18,589000.0,0.0,-0.0343,12572,0.0965,-0.0494,48.0,0.1163,0.0667,5392,-0.0824,-0.0135,154,0.1324,-0.0253,0.0069,0.001,-0.0001,6492.0,0.1744,-0.1536,0.2901,0.035,-0.0464,4362.0,-0.0654,-0.0071,286.0,-0.0113,-0.0349,2055.0,0.0195,-0.0368,772328.0,-0.0116,-0.0334,16942,0.0506,-0.0362,0.347,-0.0601,0.0148,0.0
202606,41700,"San Antonio-New Braunfels, TX",25,325000.0,0.0,-0.0449,14140,0.0499,0.05,61.0,0.0702,-0.0081,4216,-0.0321,0.0446,434,-0.0726,0.3395,0.0189,-0.0017,0.0041,6358.0,0.0675,0.1034,0.2757,0.0121,0.0089,4748.0,-0.0176,0.132,173.0,0.0013,-0.0487,1949.0,0.0015,-0.0033,449751.0,-0.0058,-0.0388,18886,0.0397,0.0683,0.3358,-0.0231,0.0243,0.0
202606,12420,"Austin-Round Rock-San Marcos, TX",26,473500.0,-0.0032,-0.098,12456,0.0403,-0.0495,63.0,0.1161,0.087,3926,-0.0387,0.0026,268,0.3137,0.7403,0.013,0.0031,0.0056,5706.0,0.0653,-0.1655,0.2762,0.0079,-0.0504,4175.0,-0.0441,0.069,237.0,-0.0108,-0.082,2042.0,0.0012,-0.0161,726864.0,-0.0142,-0.0826,16615,0.0182,-0.0207,0.3351,-0.0296,0.0372,0.0
202606,21340,"El Paso, TX",76,309725.0,-0.0009,0.0327,2611,0.039,-0.1333,65.0,0.0,0.0744,992,0.1222,-0.0275,96,-0.4419,-0.25,0.0198,-0.017,-0.0044,546.0,0.1098,-0.102,0.1114,0.0087,-0.0052,1327.0,-0.0367,0.0196,171.0,-0.0019,0.0238,1865.0,-0.0075,0.0107,367816.0,0.0028,0.0785,3932,0.0114,-0.086,0.508,-0.0399,0.0762,0.0
202606,17820,"Colorado Springs, CO",81,497000.0,-0.002,-0.035,4021,0.1357,0.0824,50.0,0.087,0.1628,1836,0.1007,0.0291,56,0.4,-0.3171,0.0076,0.0018,-0.0042,2058.0,0.1773,-0.0209,0.2775,0.0235,-0.0241,1618.0,-0.0612,0.0316,238.0,-0.0024,0.0254,2155.0,0.0127,-0.0649,620050.0,0.0142,-0.0315,5616,0.0677,0.0692,0.4023,-0.0844,-0.0198,0.0
202606,32580,"McAllen-Edinburg-Mission, TX",84,260000.0,0.0,-0.0544,3384,0.0117,0.0978,79.0,0.0676,0.0822,648,-0.0061,-0.0122,22,-0.45,0.1,0.0048,-0.0039,0.0001,648.0,0.1329,-0.0526,0.1415,0.0134,-0.0181,607.0,0.0439,0.1139,159.0,-0.0014,-0.004,1679.0,0.0045,-0.0246,315815.0,0.0025,-0.0227,3987,0.0162,0.1011,0.1792,0.0055,0.0026,0.0
202605,19100,"Dallas-Fort Worth-Arlington, TX",4,435999.0,0.014,-0.0091,27994,0.0569,-0.0375,48.0,0.0549,0.0667,11872,-0.0216,-0.0392,368,-0.2333,-0.156,0.0072,-0.0021,-0.0009,12304.0,0.0854,-0.1453,0.2401,0.019,-0.03,12180.0,0.0411,0.0465,203.0,0.0011,-0.0187,2211.0,0.014,0.011,642677.0,0.0055,0.0064,40211,0.0533,-0.0127,0.4351,-0.0066,0.0349,0.0
202605,26420,"Houston-Pasadena-The Woodlands, TX",5,360000.0,0.0003,-0.0336,33872,0.0364,0.0355,49.0,0.0208,0.1136,10744,-0.0711,-0.133,996,-0.1502,-0.1942,0.0181,-0.0028,-0.0035,10104.0,-0.0131,-0.0881,0.1836,0.0019,-0.0151,11340.0,0.0015,-0.0365,173.0,-0.0008,-0.0245,2130.0,0.0098,0.0124,495401.0,0.0022,-0.0172,45418,0.0326,0.0206,0.3348,-0.0117,-0.025,0.0
202605,19740,"Denver-Aurora-Centennial, CO",18,589000.0,0.0034,-0.0183,11465,0.1026,-0.072,43.0,0.1026,0.1316,5876,0.0374,-0.0259,136,-0.1053,0.0303,0.0058,-0.0014,-0.0001,5528.0,0.0797,-0.1516,0.2551,0.0116,-0.0388,4667.0,0.0102,0.0469,290.0,-0.0112,-0.0352,2016.0,0.0133,-0.0284,781414.0,-0.0054,-0.0231,16126,0.0744,-0.0432,0.4071,-0.0372,0.0462,0.0
202605,41700,"San Antonio-New Braunfels, TX",25,325000.0,0.0009,-0.0441,13467,0.0336,0.0575,57.0,0.0755,-0.0172,4356,-0.0632,-0.0171,468,0.2649,-0.041,0.0206,0.004,-0.002,5956.0,0.0681,0.1306,0.2636,0.0142,0.0145,4833.0,0.0706,0.0937,173.0,0.005,-0.0514,1946.0,0.0075,-0.0021,452375.0,0.0055,-0.0378,18165,0.0373,0.0559,0.3589,0.0124,0.0119,0.0
202605,12420,"Austin-Round Rock-San Marcos, TX",26,475000.0,0.0,-0.0952,11974,0.0836,-0.044,56.0,0.1089,0.2174,4084,-0.0676,-0.1325,204,-0.157,0.275,0.0099,-0.0022,0.0023,5356.0,0.1454,-0.1115,0.2683,0.0326,-0.0237,4367.0,0.0335,0.0513,240.0,-0.0055,-0.0833,2040.0,0.0102,-0.0143,737300.0,-0.0098,-0.0849,16318,0.0705,-0.0201,0.3647,-0.0177,0.0331,0.0
202605,21340,"El Paso, TX",76,310000.0,0.0099,0.0403,2513,-0.0379,-0.1161,65.0,0.1818,0.0833,884,-0.083,-0.0943,172,1.0,1.5294,0.0369,0.0193,0.0232,492.0,-0.0428,-0.18,0.1027,-0.0033,-0.0149,1377.0,0.0253,0.0568,172.0,0.0057,0.0296,1879.0,0.0075,0.0245,366789.0,0.0228,0.0844,3887,-0.0146,-0.0685,0.548,0.0338,0.0896,0.0
202605,17820,"Colorado Springs, CO",81,498000.0,-0.001,-0.033,3540,0.0784,0.1031,46.0,0.0698,0.2105,1668,-0.0325,-0.0302,40,-0.3939,0.25,0.0058,-0.0039,0.0011,1748.0,0.144,0.0331,0.254,0.0272,0.0002,1723.0,0.0373,0.0367,239.0,-0.0074,0.0233,2128.0,-0.0095,-0.0782,611353.0,-0.0059,-0.0567,5260,0.0687,0.0832,0.4867,-0.0193,-0.0312,0.0
202605,32580,"McAllen-Edinburg-Mission, TX",84,260000.0,0.0002,-0.0542,3345,-0.0127,0.1025,74.0,0.0207,0.0423,652,0.0093,0.0449,40,0.6667,1.0,0.0087,0.0036,0.0039,572.0,-0.037,-0.1173,0.1281,-0.0009,-0.0274,581.0,-0.0077,0.0283,159.0,0.0039,-0.0045,1671.0,0.0,-0.031,315026.0,0.0089,-0.0293,3923,-0.0091,0.0946,0.1737,0.0009,-0.0125,0.0
202604,19100,"Dallas-Fort Worth-Arlington, TX",4,430000.0,0.0238,0.0,26487,0.0766,0.0006,46.0,-0.0421,0.0581,12134,0.0327,-0.0594,480,0.1823,-0.0734,0.0094,0.0006,-0.001,11336.0,0.1441,-0.1201,0.2211,0.0085,-0.0369,11700.0,0.0678,0.055,203.0,0.0083,-0.0177,2181.0,0.0187,0.0111,639175.0,0.0343,0.0132,38176,0.0739,0.0165,0.4417,-0.0036,0.0228,0.0
202604,26420,"Houston-Pasadena-The Woodlands, TX",5,359897.0,0.0268,-0.027,32681,0.0372,0.0686,48.0,-0.0303,0.1034,11566,0.0241,-0.0354,1172,0.0578,-0.0757,0.0209,0.0003,-0.0025,10238.0,0.0985,-0.0049,0.1817,0.007,-0.0099,11323.0,0.0899,-0.0112,173.0,0.0075,-0.0233,2109.0,0.0153,0.0121,494293.0,0.02,-0.0097,43984,0.0501,0.047,0.3465,0.0168,-0.028,0.0
202604,19740,"Denver-Aurora-Centennial, CO",18,587000.0,0.0209,-0.0208,10399,0.1373,0.0052,39.0,0.0263,0.0986,5664,0.0439,-0.1265,152,0.1875,-0.1648,0.0072,0.0006,-0.0012,5120.0,0.3108,-0.1058,0.2435,0.0365,-0.0281,4620.0,0.0314,0.0162,293.0,0.0016,-0.032,1990.0,0.0138,-0.0161,785654.0,0.0107,-0.0075,15010,0.1025,0.0049,0.4443,-0.0456,0.0048,0.0
202604,41700,"San Antonio-New Braunfels, TX",25,324700.0,0.0023,-0.0449,13029,0.041,0.0948,53.0,-0.124,-0.0783,4650,0.0497,0.0734,370,-0.451,-0.1019,0.0166,-0.0153,-0.0032,5576.0,0.0994,0.0702,0.2495,0.0109,-0.0067,4515.0,0.0624,-0.0104,172.0,-0.006,-0.0584,1932.0,0.0063,-0.0082,449893.0,0.0053,-0.0418,17512,0.0472,0.0651,0.3465,0.007,-0.0368,0.0
202604,12420,"Austin-Round Rock-San Marcos, TX",26,475000.0,0.0128,-0.0952,11051,0.103,-0.002,51.0,-0.0472,0.1609,4380,0.0032,-0.1347,242,-0.2293,0.407,0.0121,-0.0053,0.0036,4676.0,0.2183,-0.0777,0.2357,0.0226,-0.0229,4226.0,0.0801,0.0503,241.0,0.0007,-0.0771,2019.0,0.011,-0.0213,744608.0,0.0008,-0.0829,15244,0.0974,0.0113,0.3824,-0.0081,0.019,0.0
202604,21340,"El Paso, TX",76,306950.0,0.0085,0.0337,2612,-0.01,-0.0304,55.0,-0.0265,-0.0678,964,-0.2922,0.0105,86,-0.5426,-0.5567,0.0175,-0.0182,-0.0218,514.0,-0.0115,-0.0481,0.106,0.0073,0.0014,1343.0,0.0826,0.0128,171.0,0.0025,0.0209,1865.0,0.0097,0.0143,358616.0,0.0192,0.0571,3945,0.0113,-0.0158,0.5142,0.044,0.022,0.0
202604,17820,"Colorado Springs, CO",81,498500.0,0.004,-0.0129,3283,0.1008,0.1842,43.0,-0.0227,0.1316,1724,0.0642,-0.0126,66,0.0313,0.1379,0.0098,-0.0006,0.0002,1528.0,0.2628,0.1611,0.2268,0.0291,0.0104,1661.0,0.0849,0.019,240.0,0.0137,0.032,2149.0,-0.0046,-0.0482,614963.0,0.0023,-0.0512,4922,0.0956,0.1207,0.506,-0.0074,-0.082,0.0
202604,32580,"McAllen-Edinburg-Mission, TX",84,259950.0,0.0037,-0.0434,3388,-0.0157,0.132,73.0,0.0432,0.1069,646,-0.134,-0.1003,24,0.0,-0.0769,0.0051,0.0,-0.0011,594.0,-0.1466,-0.0166,0.129,-0.0177,-0.0153,586.0,0.0077,0.1281,158.0,0.0056,-0.0087,1671.0,0.0018,-0.0302,312241.0,0.0068,-0.0351,3959,-0.016,0.1292,0.1728,0.004,-0.0006,0.0
202603,19100,"Dallas-Fort Worth-Arlington, TX",4,420000.0,0.0219,-0.0083,24603,0.0597,0.0392,48.0,-0.1667,0.0556,11750,0.171,-0.0083,406,-0.0688,-0.024,0.0087,-0.0015,-0.0005,9908.0,0.0984,-0.0688,0.2127,0.0021,-0.0211,10957.0,0.1739,0.09,201.0,0.0057,-0.0186,2141.0,0.0104,0.0135,617953.0,0.0155,0.0066,35549,0.0924,0.0543,0.4453,0.0433,0.0208,0.0
202603,26420,"Houston-Pasadena-The Woodlands, TX",5,350500.0,0.0014,-0.0397,31510,0.0343,0.1133,50.0,-0.0833,0.1,11294,0.1447,0.0034,1108,0.0695,0.0695,0.0206,-0.0005,-0.0003,9320.0,0.0231,0.0365,0.1747,-0.0093,-0.0066,10389.0,0.1398,0.0263,172.0,0.0061,-0.0266,2078.0,0.0051,0.0051,484593.0,0.0111,-0.0181,41887,0.0587,0.0906,0.3297,0.0305,-0.028,0.0
202603,19740,"Denver-Aurora-Centennial, CO",18,575000.0,0.0177,-0.0171,9144,0.1189,0.0766,38.0,0.0,0.0857,5426,0.1394,-0.0734,128,0.2549,0.0323,0.0066,0.0004,-0.0003,3906.0,0.2608,-0.1509,0.207,0.0223,-0.0367,4480.0,0.167,0.099,292.0,0.0042,-0.0309,1963.0,0.0155,-0.0098,777359.0,0.021,-0.0029,13614,0.134,0.0835,0.4899,0.0202,0.01,0.0
202603,41700,"San Antonio-New Braunfels, TX",25,323950.0,0.0124,-0.033,12516,0.0223,0.1117,61.0,-0.2293,0.0083,4430,0.2592,0.0508,674,0.1196,0.685,0.0319,0.0012,0.0107,5072.0,0.1649,0.0549,0.2385,0.0119,-0.0121,4250.0,0.1287,0.0709,173.0,0.0014,-0.0465,1920.0,0.0044,-0.0054,447528.0,0.0166,-0.0216,16723,0.0488,0.1021,0.3395,0.032,-0.0129,0.0
202603,12420,"Austin-Round Rock-San Marcos, TX",26,469000.0,0.0308,-0.0804,10019,0.1041,0.0855,53.0,-0.298,0.2045,4366,0.2361,-0.0687,314,0.1716,0.6354,0.0175,0.0006,0.0067,3838.0,0.2009,0.01,0.2131,0.0126,-0.0091,3912.0,0.1601,0.0933,241.0,0.0191,-0.071,1997.0,0.0119,-0.0199,743992.0,0.0247,-0.0706,13891,0.1197,0.0874,0.3905,0.0189,0.0028,0.0
202603,21340,"El Paso, TX",76,304350.0,-0.0021,0.0319,2639,0.0123,-0.0303,57.0,-0.3067,0.066,1362,0.3675,0.3096,188,0.4688,0.7407,0.0357,0.0096,0.0145,520.0,0.1927,-0.037,0.0988,0.0062,-0.0095,1241.0,0.0839,-0.0225,170.0,0.0046,0.0181,1847.0,-0.0046,0.0079,351862.0,0.0003,0.0442,3901,0.0412,-0.0224,0.4702,0.0311,0.0038,0.0
202603,17820,"Colorado Springs, CO",81,496500.0,0.0166,-0.0068,2982,0.0802,0.2409,44.0,-0.1776,0.0,1620,0.2254,0.1408,64,0.4545,1.2857,0.0104,0.0022,0.0051,1210.0,0.1816,0.1204,0.1977,0.0057,-0.0062,1531.0,0.1629,0.0858,237.0,-0.0003,0.0256,2159.0,0.0296,-0.0308,613537.0,0.0193,-0.057,4493,0.1044,0.1822,0.5134,0.0365,-0.0734,0.0
202603,32580,"McAllen-Edinburg-Mission, TX",84,259000.0,0.0049,-0.0407,3442,0.0147,0.1632,70.0,-0.1203,0.053,746,0.1134,0.078,24,0.2,0.0,0.0051,0.0008,-0.0007,696.0,-0.044,0.1226,0.1467,-0.012,-0.0046,581.0,0.1109,0.169,157.0,0.002,-0.0185,1668.0,0.003,-0.0246,310121.0,-0.001,-0.0374,4024,0.0281,0.1649,0.1688,0.0146,0.0008,0.0
202602,19100,"Dallas-Fort Worth-Arlington, TX",4,411000.0,0.0148,-0.0119,23216,0.0198,0.0653,57.0,-0.2083,0.0179,10034,0.4093,0.0902,436,0.3797,0.0093,0.0103,0.002,-0.0005,9020.0,0.471,0.0108,0.2106,0.0467,-0.0096,9334.0,0.2292,0.014,200.0,0.0043,-0.0181,2119.0,0.005,0.0088,608519.0,0.015,0.0225,32543,0.0657,0.0497,0.402,0.0685,-0.0203,0.0
202602,26420,"Houston-Pasadena-The Woodlands, TX",5,350000.0,0.0003,-0.0223,30464,0.0263,0.1429,54.0,-0.1818,0.0093,9866,0.1424,0.0171,1036,-0.1672,-0.2199,0.021,-0.0055,-0.0088,9110.0,0.286,0.1453,0.184,0.032,0.0076,9115.0,0.2177,0.0199,171.0,0.0017,-0.024,2067.0,0.0005,0.0098,479252.0,0.0057,-0.0094,39566,0.0612,0.1123,0.2992,0.047,-0.0361,0.0
202602,19740,"Denver-Aurora-Centennial, CO",18,565000.0,0.0273,-0.0131,8172,0.1317,0.1587,38.0,-0.4722,-0.1364,4762,0.1581,0.0872,102,0.3421,-0.1356,0.0062,0.001,-0.0017,3098.0,0.1208,-0.0426,0.1847,-0.0026,-0.0439,3839.0,0.4382,0.1057,291.0,0.0146,-0.0302,1933.0,0.0013,-0.0113,761361.0,0.0254,-0.0109,12005,0.2142,0.1412,0.4697,0.1001,-0.0225,0.0
202602,41700,"San Antonio-New Braunfels, TX",25,319990.0,0.0,-0.0214,12243,0.0123,0.1526,79.0,-0.0765,0.0397,3518,0.0508,-0.026,602,0.4333,0.6538,0.0308,0.0085,0.0105,4354.0,0.0973,-0.0255,0.2266,0.0134,-0.0201,3765.0,0.1733,0.0625,173.0,0.002,-0.0408,1911.0,0.0005,0.0091,440226.0,0.0025,-0.0196,15944,0.0435,0.1288,0.3075,0.0422,-0.0261,0.0
202602,12420,"Austin-Round Rock-San Marcos, TX",26,455000.0,0.0,-0.0882,9074,0.0749,0.148,76.0,-0.1703,0.1527,3532,0.2096,0.0834,268,0.4255,0.5056,0.0169,0.0035,0.0045,3196.0,0.3272,0.1238,0.2005,0.0345,-0.0016,3372.0,0.2434,0.0816,236.0,0.001,-0.064,1974.0,0.0038,-0.0216,726070.0,0.0151,-0.0701,12406,0.1113,0.1285,0.3716,0.0504,-0.0228,0.0
202602,21340,"El Paso, TX",76,305000.0,0.0168,0.0465,2607,-0.0238,-0.0072,82.0,-0.0994,0.2164,996,0.1475,-0.0532,128,0.1034,-0.0725,0.0261,0.0004,-0.0025,436.0,0.0093,-0.1774,0.0926,-0.0073,-0.017,1145.0,0.1872,-0.0478,170.0,0.0019,0.0154,1856.0,0.0079,0.0141,351758.0,0.0021,0.0373,3746,0.03,-0.0213,0.4391,0.078,-0.0187,0.0
202602,17820,"Colorado Springs, CO",81,488410.0,0.0282,0.0175,2761,0.0217,0.2097,54.0,-0.3097,-0.0855,1322,0.2332,0.2472,44,0.2222,0.0476,0.0082,-0.0006,-0.0009,1024.0,-0.0448,0.0119,0.1921,-0.0304,-0.0279,1317.0,0.3642,0.0734,237.0,0.0058,0.0276,2097.0,0.0247,-0.0319,601907.0,0.0247,-0.0544,4068,0.1045,0.1634,0.4769,0.1198,-0.0606,0.0
202602,32580,"McAllen-Edinburg-Mission, TX",84,257725.0,-0.0084,-0.0507,3392,0.0383,0.1842,79.0,-0.0366,0.0194,670,-0.059,-0.0563,20,0.25,0.1111,0.0044,0.0003,-0.0002,728.0,0.2381,0.1818,0.1588,0.0303,0.0061,523.0,0.0673,0.2291,157.0,-0.006,-0.0247,1663.0,-0.0078,-0.0283,310427.0,-0.0141,-0.0411,3914,0.0411,0.1913,0.1542,0.0042,0.0056,0.0
