LAST UPDATED,FREQUENCY,PERIOD BEGIN,PERIOD END,REGION TYPE,REGION NAME,HOME PURCHASE CANCELLATIONS,HOME PURCHASE CANCELLATIONS MOM (%),HOME PURCHASE CANCELLATIONS YOY (%),PERCENT OF PENDING SALES (%),PERCENT OF PENDING SALES MOM (PPTS),PERCENT OF PENDING SALES YOY (PPTS)
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Aberdeen, SD metro area",1,NA,-4.67,1.64,NA,-1.49
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Aberdeen, WA metro area",16,NA,-22.82,14.16,NA,-2.64
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Abilene, TX metro area",51,NA,-6.43,20.95,NA,1.6
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Ada, OK metro area",4,NA,-36.44,8.89,NA,-4.16
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Adrian, MI metro area",28,NA,112.67,20.66,NA,10.88
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Akron, OH metro area",108,6.22,-14.23,13.06,0.61,-1.64
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Alamogordo, NM metro area",13,NA,-11.02,17.89,NA,-3.84
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Albany, GA metro area",30,NA,269.42,21.75,NA,-6.82
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Albany, NY metro area",125,12.34,5.17,13.93,2.47,0.81
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Albany, OR metro area",18,NA,64.67,13.85,NA,6.42
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Albemarle, NC metro area",12,NA,37.71,15.75,NA,2.12
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Albert Lea, MN metro area",10,NA,217.78,17.61,NA,8.23
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Albertville, AL metro area",12,NA,-11.47,9.19,NA,-3.89
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Albuquerque, NM metro area",169,-17.83,-2.84,17.58,-0.66,-0.44
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Alexander City, AL metro area",7,NA,11.22,7.51,NA,-0.6
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Alexandria, LA metro area",26,NA,11.91,30.35,NA,9.25
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Alexandria, MN metro area",6,NA,-42.8,8.36,NA,-4.63
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Alice, TX metro area",1,NA,NA,3.89,NA,3.89
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Allentown, PA metro area",84,-1.67,15.47,9.95,-0.12,1.04
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Alma, MI metro area",10,NA,376.67,16.97,NA,11.97
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Alpena, MI metro area",8,NA,-30.67,16.97,NA,-3.79
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Altoona, PA metro area",11,NA,-32.7,7.94,NA,-6.23
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Altus, OK metro area",10,NA,74.78,42.77,NA,24.02
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Amarillo, TX metro area",38,NA,-6.99,6.23,NA,-5.69
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Americus, GA metro area",0,NA,-100,0,NA,-33.33
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Ames, IA metro area",13,NA,90.67,11.88,NA,5.33
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Amsterdam, NY metro area",5,NA,-52.33,10.14,NA,-8.73
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Anaheim, CA metro area",256,-9.83,-0.51,13.51,-0.8,0.67
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Anchorage, AK metro area",102,NA,13.34,16.29,NA,1.36
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Andrews, TX metro area",1,NA,-52.33,93.31,NA,64.74
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Angola, IN metro area",4,NA,27.11,6.02,NA,-0.5
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Ann Arbor, MI metro area",42,NA,55.36,11.16,NA,4.16
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Anniston, AL metro area",25,NA,12.67,21.1,NA,5.6
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Appleton, WI metro area",13,NA,-25.85,4.26,NA,-1.74
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Arcadia, FL metro area",2,NA,-68.22,8.48,NA,-8.66
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Ardmore, OK metro area",10,NA,36.19,17.61,NA,6.67
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Arkadelphia, AR metro area",1,NA,NA,4.06,NA,4.06
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Asheville, NC metro area",108,NA,5.62,15.08,NA,0.82
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Ashland, OH metro area",6,NA,43,8.75,NA,1.73
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Ashtabula, OH metro area",14,NA,-10.62,11.96,NA,-0.54
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Astoria, OR metro area",12,NA,-4.67,16.39,NA,1.1
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Atchison, KS metro area",4,NA,90.67,28.71,NA,10.53
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Athens, GA metro area",26,NA,28.7,11.3,NA,1.73
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Athens, OH metro area",7,NA,66.84,12.81,NA,6.25
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Athens, TN metro area",8,NA,-52.33,10.51,NA,-10.82
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Athens, TX metro area",18,NA,0.63,20.61,NA,4.83
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Atlanta, GA metro area",1344,-1.56,11.59,19.83,1.3,3.51
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Atlantic City, NJ metro area",52,NA,37.98,12.7,NA,1.22
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Atmore, AL metro area",5,NA,-40.42,11.11,NA,-17.46
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Auburn, AL metro area",16,NA,-50.89,6.34,NA,-6.4
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Auburn, IN metro area",3,NA,-64.25,4.83,NA,-7.87
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Auburn, NY metro area",6,NA,-36.44,8.11,NA,-4.93
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Augusta, GA metro area",151,NA,258.64,16.29,NA,11.91
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Augusta, ME metro area",32,NA,4.56,19,NA,4.23
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Austin, MN metro area",10,NA,249.56,22.81,NA,17.25
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Austin, TX metro area",398,-2.42,-0.8,13.41,0.24,-0.35
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Bainbridge, GA metro area",0,NA,-100,0,NA,-21.74
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Bakersfield, CA metro area",154,15.23,22.2,22.26,5.54,5.32
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Baltimore, MD metro area",401,-2.4,1.56,13.26,0.02,0.15
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Bangor, ME metro area",41,NA,10.79,18.75,NA,1.85
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Baraboo, WI metro area",8,NA,27.11,8.58,NA,1.91
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Bardstown, KY metro area",6,NA,-36.44,9.65,NA,-4.41
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Barnstable Town, MA metro area",58,NA,-10.53,13.55,NA,-0.86
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Barre, VT metro area",12,NA,37.71,11.78,NA,1.55
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Bartlesville, OK metro area",10,NA,-38.31,13.87,NA,-5.9
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Batavia, NY metro area",3,NA,-28.5,4.37,NA,-4.93
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Batesville, AR metro area",3,NA,-59.14,4.67,NA,-7.62
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Baton Rouge, LA metro area",183,-8.43,-4.88,23.3,1.32,2.69
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Battle Creek, MI metro area",37,NA,61.65,21.66,NA,7.38
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Bay City, MI metro area",24,NA,83.34,17.81,NA,8.03
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Bay City, TX metro area",7,NA,-25.85,16.75,NA,-4.18
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Beatrice, NE metro area",0,NA,NA,0,NA,0
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Beaumont, TX metro area",66,NA,-7.35,12.15,NA,-7.57
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Beaver Dam, WI metro area",7,NA,122.45,6.47,NA,2.72
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Beckley, WV metro area",17,NA,-18.28,16,NA,1.41
2026-08-03,Monthly,2026-07-01,2026-07-31,Metro,"Bedford, IN metro area",8,NA,27.11,13.1,NA,3.57
