"Market Name","Date","Sales","Sales YoY%","Dollar Volume","Dollar Volume YoY%","Average Price","Median Price","Active Listings EOM","Months Inventory"
"Texas","2026-07-01","31784","0.00500","13889917875","0.01950","437009","340000","158050","5.56"
"Texas","2026-06-01","34956","0.08610","15672622162","0.10160","448352","342900","153786","5.41"
"Texas","2026-05-01","33701","0.00740","14861806858","0.02780","440990","340000","150254","5.33"
"Texas","2026-04-01","31420","0.05630","13428215861","0.05240","427377","335000","145696","5.17"
"Texas","2026-03-01","29808","0.06240","12517866148","0.04890","419949","331950","138584","4.95"
"Texas","2026-02-01","22566","-0.02340","9264208311","-0.01380","410538","325000","133634","4.79"
"Texas","2026-01-01","19149","-0.03120","7751852598","-0.02890","404817","321000","130238","4.67"
"Texas","2025-12-01","28454","0.06200","11945510881","0.04440","419818","330000","126796","4.53"
"Texas","2025-11-01","23138","-0.06830","9589844871","-0.08100","414462","328442","142272","5.11"
"Texas","2025-10-01","27756","0.00630","11706416660","0.00970","421761","330000","150133","5.37"
"Texas","2025-09-01","28177","0.07270","11704190445","0.07240","415381","330000","150557","5.38"
"Texas","2025-08-01","30153","0.03350","12744371024","0.03570","422656","335000","154114","5.54"
"Texas","2025-07-01","31626","0.04040","13624488049","0.03940","430800","339000","156606","5.65"
"Texas","2025-06-01","32186","0.07770","14227346183","0.11490","442035","345000","153829","5.57"
"Texas","2025-05-01","33454","0.00160","14459292913","-0.01740","432214","339950","149401","5.45"
"Texas","2025-04-01","29744","-0.03380","12759950303","-0.03570","428992","337500","139789","5.1"
"Texas","2025-03-01","28056","-0.01940","11934836074","0.00520","425393","339000","129915","4.72"
"Texas","2025-02-01","23106","-0.03980","9394023111","-0.02890","406562","328000","122271","4.44"
"Texas","2025-01-01","19765","0.02100","7982412984","0.04560","403866","326000","118177","4.28"
"Texas","2024-12-01","26792","0.14100","11438012198","0.18790","426918","340000","112658","4.08"
"Texas","2024-11-01","24833","0.08510","10435110280","0.13490","420211","333000","123911","4.54"
"Texas","2024-10-01","27582","0.11570","11593425631","0.14840","420325","335000","127249","4.69"
"Texas","2024-09-01","26268","-0.00750","10914447892","-0.00830","415503","336500","126673","4.71"
"Texas","2024-08-01","29176","-0.07470","12304934070","-0.07180","421748","339000","126578","4.7"
"Texas","2024-07-01","30397","0.01970","13107784127","0.03070","431219","345000","124287","4.58"
"Texas","2024-06-01","29866","-0.13040","12761386024","-0.13760","427288","345000","122665","4.53"
"Texas","2024-05-01","33401","-0.03040","14715799624","0.00170","440579","345000","116705","4.25"
"Texas","2024-04-01","30785","0.07840","13232876169","0.11800","429848","340000","108003","3.92"
"Texas","2024-03-01","28611","-0.07470","11873164975","-0.04410","414986","336590","101888","3.72"
"Texas","2024-02-01","24064","0.02270","9673592498","0.05330","401994","332500","96528","3.5"
"Texas","2024-01-01","19358","0.07270","7634245249","0.09890","394371","324909","93042","3.38"
"Texas","2023-12-01","23481","-0.06340","9628712333","-0.03480","410063","335000","92025","3.36"
"Texas","2023-11-01","22886","-0.00860","9194643585","-0.00290","401758","325000","100890","3.67"
"Texas","2023-10-01","24721","-0.05590","10095313529","-0.04540","408369","330000","101561","3.69"
"Texas","2023-09-01","26467","-0.14630","11005898111","-0.13350","415834","338000","99185","3.59"
"Texas","2023-08-01","31532","-0.06720","13256428229","-0.05500","420411","340000","95389","3.4"
"Texas","2023-07-01","29810","-0.08430","12717482547","-0.07460","426617","345000","91547","3.24"
"Texas","2023-06-01","34345","-0.08360","14797352278","-0.09820","430844","347500","89127","3.13"
"Texas","2023-05-01","34450","-0.06210","14690369499","-0.09690","426425","345000","81985","2.85"
"Texas","2023-04-01","28547","-0.16170","11835705418","-0.19220","414604","337000","78029","2.7"
"Texas","2023-03-01","30922","-0.12480","12420364581","-0.13730","401667","330000","77976","2.65"
"Texas","2023-02-01","23529","-0.14130","9184272056","-0.13780","390338","325000","76419","2.57"
"Texas","2023-01-01","18046","-0.27990","6947344633","-0.26080","384979","318990","79191","2.63"
"Texas","2022-12-01","25071","-0.29940","9976302570","-0.28460","397922","330925","80872","2.64"
"Texas","2022-11-01","23084","-0.29320","9221171711","-0.25900","399461","330000","88863","2.82"
"Texas","2022-10-01","26186","-0.22390","10575154165","-0.16590","403847","335000","90505","2.8"
"Texas","2022-09-01","31002","-0.15460","12701205595","-0.07370","409689","340500","87739","2.66"
"Texas","2022-08-01","33804","-0.12380","14028695477","-0.04100","415001","343990","83415","2.49"
"Texas","2022-07-01","32555","-0.16850","13743193191","-0.08980","422153","350000","81080","2.4"
"Texas","2022-06-01","37480","-0.08920","16409165305","0.02440","437811","360000","68990","2.01"
"Texas","2022-05-01","36732","-0.01950","16266336483","0.13600","442838","360000","52044","1.5"
"Texas","2022-04-01","34052","-0.05250","14652269895","0.10710","430291","349740","43445","1.25"
"Texas","2022-03-01","35331","0.00540","14396960033","0.13780","407488","335000","37415","1.07"
"Texas","2022-02-01","27400","0.14370","10651893140","0.29010","388755","325000","36195","1.04"
"Texas","2022-01-01","25062","0.03690","9398251514","0.20810","375000","313000","38384","1.11"
"Texas","2021-12-01","35784","-0.01490","13945851342","0.13370","389723","320500","41711","1.21"
"Texas","2021-11-01","32661","0.03750","12443675389","0.18620","380994","315000","48183","1.39"
"Texas","2021-10-01","33741","-0.06910","12678943381","0.05590","375772","310000","53420","1.55"
"Texas","2021-09-01","36670","-0.00700","13711677364","0.13910","373920","308000","55501","1.6"
"Texas","2021-08-01","38582","0.01310","14627896814","0.17510","379137","310000","55891","1.61"
"Texas","2021-07-01","39151","-0.09970","15099406499","0.05730","385671","310000","55346","1.6"
"Texas","2021-06-01","41150","0.07510","16019043118","0.33850","389284","310000","47267","1.35"
"Texas","2021-05-01","37463","0.37930","14318760072","0.79420","382210","301000","42491","1.22"
"Texas","2021-04-01","35939","0.38900","13234607039","0.72930","368251","290439","43232","1.27"
"Texas","2021-03-01","35142","0.15150","12653018276","0.38690","360054","283000","41906","1.27"
"Texas","2021-02-01","23957","-0.02820","8256448116","0.14510","344636","275000","44855","1.37"
"Texas","2021-01-01","24170","0.15790","7779657317","0.33850","321872","262000","50287","1.53"
"Texas","2020-12-01","36327","0.22320","12301605513","0.37400","338635","270000","53090","1.63"
"Texas","2020-11-01","31480","0.23080","10490101558","0.43000","333230","269900","60854","1.91"
"Texas","2020-10-01","36244","0.24090","12007907700","0.41440","331307","269000","66686","2.12"
"Texas","2020-09-01","36928","0.27540","12037096737","0.43710","325961","265000","69241","2.24"
"Texas","2020-08-01","38084","0.08370","12447715191","0.20350","326848","265000","73273","2.43"
"Texas","2020-07-01","43486","0.20900","14280847078","0.33350","328401","269000","79386","2.65"
"Texas","2020-06-01","38277","0.12990","11967897642","0.15360","312665","259999","82396","2.81"
"Texas","2020-05-01","27160","-0.25500","7980374091","-0.27890","293828","249000","89462","3.09"
"Texas","2020-04-01","25874","-0.18780","7653061897","-0.17880","295781","249900","92552","3.11"
"Texas","2020-03-01","30519","0.04240","9123424616","0.09120","298942","248900","91383","3.02"
"Texas","2020-02-01","24652","0.09770","7210305761","0.18000","292483","244000","90437","3"
"Texas","2020-01-01","20874","0.16370","5812262836","0.22200","278445","233000","90349","3.02"
"Texas","2019-12-01","29698","0.16090","8952985928","0.22660","301467","249000","88034","2.96"
"Texas","2019-11-01","25577","0.02690","7335946055","0.04820","286818","239999","98286","3.35"
"Texas","2019-10-01","29209","0.07700","8489609978","0.12890","290650","241000","103323","3.53"
"Texas","2019-09-01","28954","0.08980","8375742938","0.12640","289277","242000","105173","3.61"
"Texas","2019-08-01","35144","0.03630","10342742360","0.05980","294296","245000","107968","3.73"
"Texas","2019-07-01","35969","0.07010","10709319245","0.10010","297737","247000","109273","3.79"
"Texas","2019-06-01","33876","-0.04040","10374567504","-0.01380","306251","249950","109737","3.83"
"Texas","2019-05-01","36454","0.05190","11066714984","0.09530","303580","247000","105972","3.69"
"Texas","2019-04-01","31855","0.06180","9319203533","0.09990","292550","240000","100720","3.52"
"Texas","2019-03-01","29279","0.00840","8360790344","0.02610","285555","235000","97706","3.43"
"Texas","2019-02-01","22458","0.02140","6110544082","0.02820","272087","230000","94510","3.32"
"Texas","2019-01-01","17938","-0.04460","4756531191","-0.02270","265165","221000","93549","3.3"
"Texas","2018-12-01","25582","-0.07080","7298857693","-0.04990","285312","235000","90385","3.18"
"Texas","2018-11-01","24907","-0.02230","6998655644","0.01670","280991","230000","100103","3.5"
"Texas","2018-10-01","27121","0.01500","7520464909","0.05560","277293","229900","103203","3.6"
"Texas","2018-09-01","26569","-0.05250","7436022107","-0.01490","279875","230000","104719","3.66"
"Texas","2018-08-01","33912","0.10810","9759020713","0.15730","287774","236000","107075","3.72"
"Texas","2018-07-01","33612","0.07530","9734722162","0.11000","289620","239000","106604","3.74"
"Texas","2018-06-01","35303","0.00470","10519589589","0.04440","297980","241160","104720","3.7"
"Texas","2018-05-01","34657","0.03430","10103931987","0.06490","291540","240000","99568","3.52"
"Texas","2018-04-01","30001","0.09400","8472600363","0.13620","282410","230900","93204","3.31"
"Texas","2018-03-01","29036","0.00260","8148343650","0.04400","280629","230000","88961","3.18"
"Texas","2018-02-01","21987","0.05220","5942881584","0.08650","270290","225000","84706","3.03"
"Texas","2018-01-01","18776","0.04950","4867201914","0.07580","259224","216700","83951","3.01"
"Texas","2017-12-01","27530","0.06360","7681849074","0.10990","279035","228000","83070","2.99"
"Texas","2017-11-01","25475","0.07820","6883839240","0.10500","270219","221000","93219","3.37"
"Texas","2017-10-01","26721","0.06680","7124019860","0.09570","266607","219000","98151","3.57"
"Texas","2017-09-01","28042","-0.00130","7548242663","0.03830","269176","223000","101378","3.71"
"Texas","2017-08-01","30605","-0.05380","8432404555","-0.01350","275523","227000","105933","3.87"
"Texas","2017-07-01","31259","0.04430","8769709140","0.11040","280549","226600","107618","3.91"
"Texas","2017-06-01","35138","0.06730","10072194932","0.12060","286646","231000","105250","3.84"
"Texas","2017-05-01","33507","0.09810","9488341207","0.16520","283174","229000","99209","3.65"
"Texas","2017-04-01","27422","-0.00560","7456748394","0.05770","271925","223000","94845","3.52"
"Texas","2017-03-01","28962","0.06800","7805177359","0.14650","269497","218065","91539","3.39"
"Texas","2017-02-01","20897","0.02410","5469972179","0.11080","261758","214450","85914","3.2"
"Texas","2017-01-01","17890","0.04580","4524171918","0.12060","252888","203000","84380","3.15"
"Texas","2016-12-01","25884","0.01310","6921017663","0.06420","267385","217000","83272","3.12"
"Texas","2016-11-01","23628","0.20680","6229610266","0.30530","263653","214400","90962","3.41"
"Texas","2016-10-01","25048","0.01440","6501947564","0.07440","259579","209945","95443","3.62"
"Texas","2016-09-01","28079","0.02620","7269751601","0.08460","258903","210000","97450","3.7"
"Texas","2016-08-01","32346","0.07430","8547378277","0.12360","264248","215000","98866","3.77"
"Texas","2016-07-01","29932","-0.08680","7897862800","-0.06330","263860","216000","99991","3.84"
"Texas","2016-06-01","32923","0.02800","8987960586","0.06550","272999","220000","97093","3.69"
"Texas","2016-05-01","30513","0.06640","8143291199","0.09520","266879","215000","92731","3.53"
"Texas","2016-04-01","27576","0.04830","7049983123","0.07450","255656","205500","91322","3.5"
"Texas","2016-03-01","27117","0.07180","6807777325","0.09900","251052","201500","89283","3.44"
"Texas","2016-02-01","20406","0.09530","4924251419","0.12090","241313","194900","86273","3.34"
"Texas","2016-01-01","17107","0.05350","4037250402","0.08960","235999","189000","84500","3.29"
"Texas","2015-12-01","25549","0.05530","6503200312","0.09230","254538","200000","82359","3.22"
"Texas","2015-11-01","19579","-0.02050","4772629104","0.01040","243762","192250","90282","3.54"
"Texas","2015-10-01","24692","-0.03010","6051805289","0.01380","245091","191000","94227","3.69"
"Texas","2015-09-01","27361","0.07380","6702721252","0.11000","244973","195000","96121","3.76"
"Texas","2015-08-01","30109","0.03950","7607007567","0.09100","252648","200000","96193","3.78"
"Texas","2015-07-01","32776","0.09340","8431371920","0.14850","257242","202000","97873","3.86"
"Texas","2015-06-01","32027","0.05860","8435117313","0.12010","263375","206000","92515","3.69"
"Texas","2015-05-01","28612","-0.00380","7435452737","0.05540","259871","202500","88780","3.56"
"Texas","2015-04-01","26306","0.03880","6561115083","0.09860","249415","194000","86037","3.45"
"Texas","2015-03-01","25301","0.09400","6194511938","0.16120","244832","189708","82240","3.31"
"Texas","2015-02-01","18630","0.00850","4393183945","0.06090","235812","185000","81360","3.29"
"Texas","2015-01-01","16238","0.03180","3705349283","0.11650","228190","177500","80312","3.25"
"Texas","2014-12-01","24210","0.13150","5953747960","0.20750","245921","189820","82677","3.36"
"Texas","2014-11-01","19988","0.01840","4723668184","0.08370","236325","183000","88214","3.61"
"Texas","2014-10-01","25457","0.12460","5969709611","0.20570","234501","180000","92868","3.81"
"Texas","2014-09-01","25481","0.06690","6038753983","0.14100","236990","183000","94924","3.93"
"Texas","2014-08-01","28964","-0.01590","6972771704","0.03370","240739","187000","97562","4.06"
"Texas","2014-07-01","29975","-0.00250","7341303103","0.04760","244914","189178","98819","4.11"
"Texas","2014-06-01","30253","0.07670","7530450372","0.13060","248915","190000","97168","4.04"
"Texas","2014-05-01","28720","-0.02880","7045192599","0.03120","245306","185000","94687","3.97"
"Texas","2014-04-01","25323","-0.01300","5972087327","0.02480","235836","179000","91780","3.83"
"Texas","2014-03-01","23127","-0.01240","5334350530","0.07000","230654","177000","89486","3.73"
"Texas","2014-02-01","18473","0.06000","4141067089","0.18600","224168","172500","88614","3.69"
"Texas","2014-01-01","15738","0.01230","3318834527","0.12800","210880","163874","87026","3.64"
"Texas","2013-12-01","21397","0.10310","4930631498","0.18960","230435","174000","87124","3.65"
"Texas","2013-11-01","19626","0.03260","4358675588","0.12220","222086","169900","93182","3.93"
"Texas","2013-10-01","22636","0.08630","4951265432","0.17890","218734","169900","97297","4.11"
"Texas","2013-09-01","23883","0.19710","5292638075","0.31390","221606","170741","99246","4.22"
"Texas","2013-08-01","29433","0.14070","6745730091","0.26650","229189","175000","100928","4.35"
"Texas","2013-07-01","30051","0.24640","7007575227","0.37600","233189","178000","101557","4.44"
"Texas","2013-06-01","28097","0.10880","6660742520","0.22130","237062","179400","99893","4.46"
"Texas","2013-05-01","29573","0.22130","6832152709","0.32220","231026","175000","97840","4.41"
"Texas","2013-04-01","25657","0.24270","5827443524","0.38160","227128","170000","96944","4.46"
"Texas","2013-03-01","23418","0.17600","4985604994","0.25510","212896","162779","96459","4.53"
"Texas","2013-02-01","17427","0.13430","3491601577","0.21380","200355","155000","97078","4.62"
"Texas","2013-01-01","15547","0.24450","2942355097","0.31230","189255","148500","95200","4.57"
"Texas","2012-12-01","19398","0.13370","4144853519","0.23640","213674","161000","95267","4.63"
"Texas","2012-11-01","19006","0.22570","3883968836","0.33440","204354","158000","102583","5.03"
"Texas","2012-10-01","20837","0.27330","4199773299","0.35250","201553","155000","106892","5.32"
"Texas","2012-09-01","19951","0.07740","4028330355","0.13760","201911","158000","110923","5.62"
"Texas","2012-08-01","25803","0.17440","5326260516","0.22920","206420","159900","113946","5.81"
"Texas","2012-07-01","24111","0.19240","5092704400","0.26200","211219","162450","117802","6.11"
"Texas","2012-06-01","25339","0.11620","5453645170","0.18080","215227","164000","118416","6.24"
"Texas","2012-05-01","24214","0.19250","5167382997","0.27980","213404","160000","118261","6.31"
"Texas","2012-04-01","20646","0.09770","4217782528","0.17360","204290","155000","117327","6.37"
"Texas","2012-03-01","19913","0.08580","3972296805","0.13300","199482","152900","115545","6.32"
"Texas","2012-02-01","15363","0.21120","2876486412","0.19750","187234","145000","114239","6.3"
"Texas","2012-01-01","12493","0.09710","2242211610","0.08340","179477","138000","112946","6.3"
"Texas","2011-12-01","17110","0.04180","3352491549","0.01920","195937","150000","112247","6.3"
