"Market Name","Date","Sales","Sales YoY%","Dollar Volume","Dollar Volume YoY%","Average Price","Median Price","Active Listings EOM","Months Inventory"
"Austin-Round Rock-San Marcos","2026-07-01","2935","0.09030","1714300197","0.11930","584088","439000","14824","5.58"
"Austin-Round Rock-San Marcos","2026-06-01","3338","0.12350","2000543155","0.15620","599323","440000","14583","5.54"
"Austin-Round Rock-San Marcos","2026-05-01","3323","0.07890","1950901062","0.08880","587090","430000","13999","5.38"
"Austin-Round Rock-San Marcos","2026-04-01","3032","0.15770","1735418107","0.13590","572367","430000","13357","5.17"
"Austin-Round Rock-San Marcos","2026-03-01","2823","0.08870","1587312320","0.05400","562278","422646","12024","4.72"
"Austin-Round Rock-San Marcos","2026-02-01","2140","0.08800","1142358535","0.03740","533812","405000","11054","4.37"
"Austin-Round Rock-San Marcos","2026-01-01","1716","-0.06430","914096607","-0.06790","532690","400000","10466","4.16"
"Austin-Round Rock-San Marcos","2025-12-01","2728","0.08900","1539793279","0.08440","564440","429000","10170","4.03"
"Austin-Round Rock-San Marcos","2025-11-01","2050","-0.10640","1157097626","-0.09160","564437","425000","11961","4.77"
"Austin-Round Rock-San Marcos","2025-10-01","2402","-0.04380","1409980391","0.00830","587002","436497","13249","5.24"
"Austin-Round Rock-San Marcos","2025-09-01","2638","0.14550","1429061539","0.11900","541721","415000","13533","5.34"
"Austin-Round Rock-San Marcos","2025-08-01","2728","0.00520","1580459022","0.02050","579347","438495","14120","5.63"
"Austin-Round Rock-San Marcos","2025-07-01","2692","-0.01860","1531643812","-0.02290","568961","430000","14681","5.85"
"Austin-Round Rock-San Marcos","2025-06-01","2971","0.06220","1730345233","0.07930","582411","441569","14765","5.88"
"Austin-Round Rock-San Marcos","2025-05-01","3080","-0.02690","1791827430","-0.04380","581762","440997","14404","5.77"
"Austin-Round Rock-San Marcos","2025-04-01","2619","-0.10830","1527827091","-0.12350","583362","445000","12984","5.18"
"Austin-Round Rock-San Marcos","2025-03-01","2593","-0.06590","1506042905","-0.04150","580810","439000","11249","4.44"
"Austin-Round Rock-San Marcos","2025-02-01","1967","-0.13840","1101217554","-0.11940","559846","426500","9894","3.88"
"Austin-Round Rock-San Marcos","2025-01-01","1834","0.03440","980712208","0.02720","534739","410000","9250","3.59"
"Austin-Round Rock-San Marcos","2024-12-01","2505","0.08540","1419897704","0.12190","566825","445000","8567","3.34"
"Austin-Round Rock-San Marcos","2024-11-01","2294","0.10020","1273748368","0.13990","555252","431027","10114","3.96"
"Austin-Round Rock-San Marcos","2024-10-01","2512","0.07760","1398330208","0.07960","556660","430000","11072","4.37"
"Austin-Round Rock-San Marcos","2024-09-01","2303","-0.03800","1277122989","-0.08120","554547","425000","11590","4.6"
"Austin-Round Rock-San Marcos","2024-08-01","2714","-0.07400","1548766183","-0.08310","570658","435000","11860","4.69"
"Austin-Round Rock-San Marcos","2024-07-01","2743","-0.01010","1567582750","-0.04830","571484","445000","12099","4.76"
"Austin-Round Rock-San Marcos","2024-06-01","2797","-0.12510","1603141865","-0.17640","573164","448625","12155","4.77"
"Austin-Round Rock-San Marcos","2024-05-01","3165","-0.06610","1873849043","-0.07960","592053","455000","11702","4.54"
"Austin-Round Rock-San Marcos","2024-04-01","2937","0.15000","1743056304","0.15470","593481","460000","10296","3.96"
"Austin-Round Rock-San Marcos","2024-03-01","2776","-0.00040","1571251704","0.00180","566012","443558","8966","3.49"
"Austin-Round Rock-San Marcos","2024-02-01","2283","0.07030","1250540368","0.09070","547761","439000","8017","3.12"
"Austin-Round Rock-San Marcos","2024-01-01","1773","0.08370","954773034","0.04920","538507","427000","7494","2.93"
"Austin-Round Rock-San Marcos","2023-12-01","2308","-0.07970","1265615903","-0.08730","548360","440000","7612","2.99"
"Austin-Round Rock-San Marcos","2023-11-01","2085","0.01120","1117468460","-0.05950","535956","422000","9216","3.6"
"Austin-Round Rock-San Marcos","2023-10-01","2331","0.03970","1295235340","-0.02490","555656","436000","9844","3.85"
"Austin-Round Rock-San Marcos","2023-09-01","2394","-0.17790","1389947902","-0.19700","580596","450000","10148","3.98"
"Austin-Round Rock-San Marcos","2023-08-01","2931","0.01280","1689209367","-0.07490","576325","454500","9843","3.8"
"Austin-Round Rock-San Marcos","2023-07-01","2771","-0.00930","1647086332","-0.08620","594401","460000","9551","3.69"
"Austin-Round Rock-San Marcos","2023-06-01","3197","-0.06980","1946490487","-0.14460","608849","476451","9488","3.66"
"Austin-Round Rock-San Marcos","2023-05-01","3389","-0.04860","2035934847","-0.15960","600747","463881","8798","3.37"
"Austin-Round Rock-San Marcos","2023-04-01","2554","-0.20660","1509553386","-0.30960","591054","465000","8126","3.09"
"Austin-Round Rock-San Marcos","2023-03-01","2777","-0.14890","1568498404","-0.25460","564817","450000","7905","2.95"
"Austin-Round Rock-San Marcos","2023-02-01","2133","-0.16090","1146593611","-0.25360","537549","435882","7031","2.58"
"Austin-Round Rock-San Marcos","2023-01-01","1636","-0.27220","910038344","-0.29670","556258","449990","7159","2.6"
"Austin-Round Rock-San Marcos","2022-12-01","2508","-0.29310","1386603748","-0.34640","552872","450000","7363","2.62"
"Austin-Round Rock-San Marcos","2022-11-01","2062","-0.35500","1188146595","-0.36140","576210","465000","8686","3"
"Austin-Round Rock-San Marcos","2022-10-01","2242","-0.29320","1328312861","-0.25660","592467","470000","9426","3.15"
"Austin-Round Rock-San Marcos","2022-09-01","2912","-0.19470","1731019684","-0.14360","594443","473375","9481","3.09"
"Austin-Round Rock-San Marcos","2022-08-01","2894","-0.23170","1825966865","-0.15210","630949","498000","8865","2.84"
"Austin-Round Rock-San Marcos","2022-07-01","2797","-0.29260","1802377255","-0.23170","644396","515000","8555","2.68"
"Austin-Round Rock-San Marcos","2022-06-01","3437","-0.19730","2275460509","-0.10580","662048","534600","6952","2.11"
"Austin-Round Rock-San Marcos","2022-05-01","3562","-0.07890","2422621563","0.06730","680129","550000","4081","1.21"
"Austin-Round Rock-San Marcos","2022-04-01","3219","-0.08260","2186483816","0.08540","679243","550000","2704","0.8"
"Austin-Round Rock-San Marcos","2022-03-01","3263","-0.05990","2104258286","0.09440","644884","520000","1685","0.49"
"Austin-Round Rock-San Marcos","2022-02-01","2542","0.10860","1536160843","0.32190","604311","497500","1198","0.35"
"Austin-Round Rock-San Marcos","2022-01-01","2248","-0.07030","1293971050","0.16290","575609","480000","1301","0.38"
