"Market Name","Date","Sales","Sales YoY%","Dollar Volume","Dollar Volume YoY%","Average Price","Median Price","Active Listings EOM","Months Inventory"
"El Paso","2026-07-01","812","0.02920","246806102","0.08230","303948","279950","2620","3.57"
"El Paso","2026-06-01","842","0.06990","255431728","0.08890","303363","279950","2587","3.53"
"El Paso","2026-05-01","787","-0.03550","232418573","-0.00910","295322","275975","2608","3.58"
"El Paso","2026-04-01","786","0.06790","237356549","0.13610","301980","275000","2571","3.52"
"El Paso","2026-03-01","821","0.13240","239724345","0.16880","291990","274000","2681","3.69"
"El Paso","2026-02-01","603","-0.05780","177881541","-0.04440","294994","274950","2649","3.69"
"El Paso","2026-01-01","582","0.13230","176425982","0.18400","303137","269700","2715","3.76"
"El Paso","2025-12-01","746","0.01500","221218392","0.02250","296539","274950","2682","3.75"
"El Paso","2025-11-01","614","-0.13030","182238800","-0.09300","296805","266950","2921","4.08"
"El Paso","2025-10-01","725","-0.01090","217734865","0.03760","300323","274950","3082","4.26"
"El Paso","2025-09-01","766","0.18940","220694436","0.20920","288112","266995","3074","4.25"
"El Paso","2025-08-01","734","0.00270","222964393","0.07690","303766","269950","3126","4.38"
"El Paso","2025-07-01","789","-0.00380","228038771","0.00440","289022","265000","3092","4.34"
"El Paso","2025-06-01","787","0.00640","234569461","0.03400","298055","269000","3058","4.29"
"El Paso","2025-05-01","816","0.03680","234542177","0.00670","287429","264950","2956","4.15"
"El Paso","2025-04-01","736","0.03230","208917456","0.07300","283855","264950","2807","3.95"
"El Paso","2025-03-01","725","0.10860","205104829","0.13840","282903","264950","2738","3.87"
"El Paso","2025-02-01","640","0.07020","186152365","0.11830","290863","266664","2828","4.03"
"El Paso","2025-01-01","514","-0.00580","149004486","0.03850","289891","265000","2565","3.67"
"El Paso","2024-12-01","735","0.11200","216340039","0.13460","294340","269950","2424","3.47"
"El Paso","2024-11-01","706","0.27670","200927989","0.25860","284600","267490","2665","3.85"
"El Paso","2024-10-01","733","0.14170","209847119","0.17290","286285","265000","2696","3.96"
"El Paso","2024-09-01","644","0.00630","182518940","0.01490","283414","265000","2662","3.96"
"El Paso","2024-08-01","732","-0.07220","207038425","-0.05070","282839","263190","2590","3.85"
"El Paso","2024-07-01","792","0.04900","227051053","0.06950","286680","265000","2508","3.7"
"El Paso","2024-06-01","782","0.00260","226849456","0.01850","290088","260850","2479","3.68"
"El Paso","2024-05-01","787","0.05780","232970009","0.14640","296022","265950","2507","3.72"
"El Paso","2024-04-01","713","0.01860","194700496","0.05230","273072","260000","2394","3.57"
"El Paso","2024-03-01","654","-0.11380","180161533","-0.07960","275476","253950","2176","3.25"
"El Paso","2024-02-01","598","0.06410","166454787","0.12840","278352","259446","2247","3.32"
"El Paso","2024-01-01","517","-0.01340","143476916","0.08380","277518","258000","2199","3.27"
"El Paso","2023-12-01","661","-0.08070","190673114","0.01940","288461","259950","2020","3"
"El Paso","2023-11-01","553","-0.12910","159644351","-0.06010","288687","257950","2232","3.29"
"El Paso","2023-10-01","642","-0.06960","178911788","0.01480","278678","260000","2246","3.28"
"El Paso","2023-09-01","640","-0.20400","179830870","-0.15290","280985","255475","2114","3.07"
"El Paso","2023-08-01","789","-0.11840","218096760","-0.07450","276421","255000","1969","2.8"
"El Paso","2023-07-01","755","-0.05270","212286967","0.00930","281174","253500","1955","2.75"
"El Paso","2023-06-01","780","-0.12950","222726793","-0.06440","285547","260000","1844","2.58"
"El Paso","2023-05-01","744","-0.14780","203221951","-0.13240","273147","255700","1806","2.49"
"El Paso","2023-04-01","700","-0.14530","185016688","-0.12570","264309","250000","1684","2.29"
"El Paso","2023-03-01","738","-0.15270","195742949","-0.11270","265234","250000","1647","2.21"
"El Paso","2023-02-01","562","-0.24870","147510181","-0.22130","262473","244265","1785","2.36"
"El Paso","2023-01-01","524","-0.22830","132379244","-0.16680","252632","235500","1783","2.31"
"El Paso","2022-12-01","719","-0.24470","187036738","-0.17390","260134","246450","1764","2.25"
"El Paso","2022-11-01","635","-0.23490","169845022","-0.12340","267472","246950","1875","2.33"
"El Paso","2022-10-01","690","-0.21410","176296784","-0.12770","255502","239999","1833","2.23"
"El Paso","2022-09-01","804","-0.08530","212300100","0.08150","264054","245975","1674","2"
"El Paso","2022-08-01","895","-0.10860","235643223","-0.00130","263288","240000","1525","1.81"
"El Paso","2022-07-01","797","-0.09640","210326990","0.00980","263898","240000","1589","1.86"
"El Paso","2022-06-01","896","-0.06670","238048449","0.10330","265679","237975","1377","1.6"
"El Paso","2022-05-01","873","0.04800","234238882","0.23670","268314","237950","1097","1.27"
"El Paso","2022-04-01","819","-0.07980","211609302","0.07980","258375","234450","958","1.11"
"El Paso","2022-03-01","871","-0.04290","220617459","0.13400","253292","226000","933","1.08"
"El Paso","2022-02-01","748","0.06400","189437116","0.27250","253258","227950","907","1.04"
"El Paso","2022-01-01","679","-0.04630","158882546","0.08990","233994","215000","970","1.12"
"El Paso","2021-12-01","952","-0.01450","226407080","0.11040","237822","217975","988","1.14"
"El Paso","2021-11-01","830","-0.00950","193759213","0.14970","233444","210000","1013","1.16"
"El Paso","2021-10-01","878","-0.05590","202114629","0.05080","230198","203000","1120","1.29"
"El Paso","2021-09-01","879","-0.07960","196302582","0.01090","223324","202000","1159","1.32"
"El Paso","2021-08-01","1004","0.03400","235946176","0.18770","235006","210000","1066","1.21"
"El Paso","2021-07-01","882","-0.06470","208286348","0.07760","236152","210000","1116","1.27"
"El Paso","2021-06-01","960","0.07500","215766472","0.23640","224756","199975","992","1.12"
"El Paso","2021-05-01","833","0.23410","189405668","0.44330","227377","195500","972","1.11"
