"Market Name","Date","Sales","Sales YoY%","Dollar Volume","Dollar Volume YoY%","Average Price","Median Price","Active Listings EOM","Months Inventory"
"San Antonio-New Braunfels","2026-07-01","3315","0.07140","1285671688","0.10100","387834","314995","17564","6.25"
"San Antonio-New Braunfels","2026-06-01","3466","0.16270","1358275789","0.19410","391885","322490","17478","6.26"
"San Antonio-New Braunfels","2026-05-01","3384","-0.00650","1248695269","-0.00690","368999","304900","17187","6.25"
"San Antonio-New Braunfels","2026-04-01","3033","-0.00030","1096556343","-0.00520","361541","305000","16681","6.06"
"San Antonio-New Braunfels","2026-03-01","2977","0.07710","1092321305","0.05810","366920","310000","15652","5.68"
"San Antonio-New Braunfels","2026-02-01","2325","-0.06020","809199829","-0.05520","348042","295000","14730","5.38"
"San Antonio-New Braunfels","2026-01-01","1918","-0.11860","682373501","-0.09410","355773","294970","14668","5.34"
"San Antonio-New Braunfels","2025-12-01","2841","0.08770","1052080196","0.10430","370320","310000","14092","5.09"
"San Antonio-New Braunfels","2025-11-01","2273","-0.15630","809499802","-0.15190","356137","300000","15661","5.69"
"San Antonio-New Braunfels","2025-10-01","2636","-0.09480","960437593","-0.09840","364354","299970","16374","5.88"
"San Antonio-New Braunfels","2025-09-01","2643","-0.00260","973032350","0.00940","368154","310000","16205","5.77"
"San Antonio-New Braunfels","2025-08-01","2919","-0.05990","1090572993","-0.02780","373611","304990","16654","5.93"
"San Antonio-New Braunfels","2025-07-01","3094","-0.04300","1167712875","-0.03660","377412","309959","16757","5.93"
"San Antonio-New Braunfels","2025-06-01","2981","-0.01130","1137459664","0.01360","381569","317545","16297","5.74"
"San Antonio-New Braunfels","2025-05-01","3406","0.02900","1257421809","0.02870","369178","310000","16084","5.66"
"San Antonio-New Braunfels","2025-04-01","3034","-0.00720","1102234008","-0.03080","363294","307000","14871","5.25"
"San Antonio-New Braunfels","2025-03-01","2764","-0.08810","1032386805","-0.07480","373511","312950","14331","5.05"
"San Antonio-New Braunfels","2025-02-01","2474","-0.03920","856472064","-0.03990","346189","289000","13884","4.86"
"San Antonio-New Braunfels","2025-01-01","2176","0.06880","753267864","0.06160","346170","295000","13258","4.62"
"San Antonio-New Braunfels","2024-12-01","2612","0.08650","952742306","0.07750","364755","313490","12895","4.52"
"San Antonio-New Braunfels","2024-11-01","2694","0.10050","954443314","0.11270","354284","299962","13763","4.85"
"San Antonio-New Braunfels","2024-10-01","2912","0.18420","1065262296","0.17350","365818","305000","14118","5.01"
"San Antonio-New Braunfels","2024-09-01","2650","-0.00600","963943076","-0.04240","363752","308000","14174","5.1"
"San Antonio-New Braunfels","2024-08-01","3105","-0.02360","1121753366","-0.06330","361273","304530","14325","5.15"
"San Antonio-New Braunfels","2024-07-01","3233","0.06140","1212127149","0.04890","374923","319000","14530","5.22"
"San Antonio-New Braunfels","2024-06-01","3015","-0.14400","1122211988","-0.16560","372209","310355","14202","5.13"
"San Antonio-New Braunfels","2024-05-01","3310","-0.09910","1222372614","-0.11610","369296","310999","13302","4.73"
"San Antonio-New Braunfels","2024-04-01","3056","0.01760","1137248125","0.03650","372136","310000","12358","4.35"
"San Antonio-New Braunfels","2024-03-01","3031","-0.04510","1115863510","-0.02400","368150","310000","12133","4.28"
"San Antonio-New Braunfels","2024-02-01","2575","0.07520","892099530","0.04220","346446","295000","11593","4.07"
"San Antonio-New Braunfels","2024-01-01","2036","0.10290","709528844","0.05470","348491","289000","11550","4.08"
"San Antonio-New Braunfels","2023-12-01","2404","-0.02990","884189420","-0.04550","367799","312475","11361","4.03"
"San Antonio-New Braunfels","2023-11-01","2448","0.05610","857797263","0.00690","350407","294459","12021","4.26"
"San Antonio-New Braunfels","2023-10-01","2459","-0.06150","907774620","-0.07700","369164","310000","12029","4.28"
"San Antonio-New Braunfels","2023-09-01","2666","-0.18320","1006657207","-0.17860","377590","314237","11780","4.17"
"San Antonio-New Braunfels","2023-08-01","3180","-0.05130","1197520630","-0.06850","376578","318000","10949","3.81"
"San Antonio-New Braunfels","2023-07-01","3046","-0.10200","1155570150","-0.11120","379372","318950","10498","3.63"
"San Antonio-New Braunfels","2023-06-01","3522","-0.05880","1344862116","-0.09220","381846","315970","10079","3.45"
"San Antonio-New Braunfels","2023-05-01","3674","-0.00110","1382986267","-0.02440","376425","314990","9603","3.27"
"San Antonio-New Braunfels","2023-04-01","3003","-0.11730","1097250426","-0.15380","365384","314990","9239","3.14"
"San Antonio-New Braunfels","2023-03-01","3174","-0.11510","1143336783","-0.12410","360219","310000","9092","3.06"
"San Antonio-New Braunfels","2023-02-01","2395","-0.13630","855992180","-0.11970","357408","304900","9458","3.15"
"San Antonio-New Braunfels","2023-01-01","1846","-0.26890","672740263","-0.23010","364431","303000","9440","3.11"
"San Antonio-New Braunfels","2022-12-01","2478","-0.31430","926381208","-0.28060","373842","318325","9489","3.07"
"San Antonio-New Braunfels","2022-11-01","2318","-0.25540","851897132","-0.23040","367513","314124","10091","3.16"
